method,prefList,pareto_solutions1,size1,pareto_solutions2,size2,time_taken_sec_1,time_taken_sec_2,timestamp
INVTTC vs BRUTE,"[(1, [2, 1, 4, 3, 5, 6]), (2, [3, 2, 5, 4, 1, 6]), (3, [6, 4, 2, 5, 1, 3]), (4, [3, 1, 2, 4, 5, 6]), (5, [3, 2, 6, 4, 1, 5]), (6, [5, 4, 1, 6, 2, 3])]","[[4, 3, 6, 1, 2, 5], [2, 3, 6, 1, 4, 5], [2, 1, 4, 3, 6, 5], [1, 4, 6, 3, 2, 5], [2, 4, 6, 1, 3, 5], [4, 2, 6, 1, 3, 5], [2, 5, 6, 1, 3, 4], [2, 4, 1, 3, 6, 5], [1, 3, 6, 4, 2, 5], [2, 1, 6, 3, 4, 5], [2, 5, 4, 3, 6, 1], [1, 5, 6, 3, 2, 4], [2, 5, 6, 3, 1, 4], [1, 2, 6, 3, 4, 5], [2, 5, 6, 3, 4, 1], [2, 5, 1, 3, 6, 4], [2, 4, 6, 3, 1, 5], [1, 2, 4, 3, 6, 5], [2, 3, 4, 1, 6, 5], [1, 2, 6, 4, 3, 5]]",20,"{(1, 2, 6, 4, 3, 5), (2, 4, 1, 3, 6, 5), (1, 3, 6, 4, 2, 5), (2, 5, 4, 3, 6, 1), (2, 5, 6, 3, 4, 1), (4, 3, 6, 1, 2, 5), (2, 5, 1, 3, 6, 4), (1, 4, 6, 3, 2, 5), (1, 5, 6, 3, 2, 4), (1, 2, 4, 3, 6, 5), (2, 5, 6, 3, 1, 4), (4, 2, 6, 1, 3, 5), (2, 4, 6, 3, 1, 5), (2, 4, 6, 1, 3, 5), (2, 1, 4, 3, 6, 5), (2, 5, 6, 1, 3, 4), (2, 3, 4, 1, 6, 5), (2, 1, 6, 3, 4, 5), (2, 3, 6, 1, 4, 5), (1, 2, 6, 3, 4, 5)}",20,0.0402,0.035,2025-11-22 23:08:55
INVTTC vs BRUTE,"[(1, [4, 6, 1, 5, 3, 2]), (2, [3, 1, 5, 2, 4, 6]), (3, [6, 1, 2, 3, 5, 4]), (4, [2, 1, 6, 3, 5, 4]), (5, [6, 3, 4, 5, 2, 1]), (6, [4, 1, 3, 6, 2, 5])]","[[4, 3, 6, 2, 5, 1], [1, 3, 6, 2, 4, 5], [4, 5, 3, 2, 6, 1], [1, 3, 5, 2, 6, 4], [5, 3, 1, 2, 6, 4], [1, 3, 6, 2, 5, 4], [4, 3, 2, 5, 6, 1], [4, 3, 1, 5, 6, 2], [4, 3, 1, 2, 6, 5], [6, 3, 1, 2, 5, 4], [4, 5, 6, 2, 3, 1], [4, 3, 5, 2, 6, 1], [4, 1, 6, 2, 3, 5], [6, 5, 1, 2, 3, 4], [1, 5, 6, 2, 3, 4], [5, 1, 6, 2, 3, 4], [1, 3, 2, 5, 6, 4], [4, 5, 1, 2, 6, 3], [5, 3, 6, 2, 4, 1], [1, 5, 2, 3, 6, 4], [6, 1, 5, 2, 3, 4], [1, 5, 3, 2, 6, 4], [1, 3, 6, 5, 4, 2], [4, 1, 6, 5, 3, 2], [4, 5, 2, 3, 6, 1], [6, 1, 2, 5, 3, 4]]",26,"{(4, 3, 6, 2, 5, 1), (6, 3, 1, 2, 5, 4), (1, 5, 3, 2, 6, 4), (4, 3, 2, 5, 6, 1), (5, 3, 1, 2, 6, 4), (4, 1, 6, 5, 3, 2), (4, 5, 3, 2, 6, 1), (4, 3, 1, 5, 6, 2), (4, 5, 1, 2, 6, 3), (1, 3, 5, 2, 6, 4), (6, 1, 5, 2, 3, 4), (4, 3, 1, 2, 6, 5), (4, 3, 5, 2, 6, 1), (1, 5, 2, 3, 6, 4), (5, 1, 6, 2, 3, 4), (5, 3, 6, 2, 4, 1), (1, 3, 6, 2, 5, 4), (1, 3, 2, 5, 6, 4), (1, 3, 6, 5, 4, 2), (4, 5, 6, 2, 3, 1), (6, 1, 2, 5, 3, 4), (4, 5, 2, 3, 6, 1), (1, 3, 6, 2, 4, 5), (6, 5, 1, 2, 3, 4), (4, 1, 6, 2, 3, 5), (1, 5, 6, 2, 3, 4)}",26,0.0406,0.0418,2025-11-22 23:08:56
INVTTC vs BRUTE,"[(1, [5, 2, 1, 4, 3, 6]), (2, [1, 6, 2, 3, 4, 5]), (3, [3, 4, 1, 2, 6, 5]), (4, [4, 2, 3, 5, 6, 1]), (5, [1, 6, 2, 3, 4, 5]), (6, [5, 4, 3, 2, 1, 6])]","[[2, 6, 3, 4, 1, 5], [2, 1, 3, 4, 6, 5], [5, 1, 3, 4, 6, 2], [5, 6, 3, 2, 1, 4], [5, 6, 3, 4, 1, 2], [5, 1, 2, 4, 6, 3], [5, 6, 2, 4, 1, 3], [5, 2, 1, 4, 6, 3], [5, 1, 3, 2, 6, 4], [5, 6, 1, 4, 2, 3]]",10,"{(5, 6, 3, 2, 1, 4), (5, 1, 2, 4, 6, 3), (5, 1, 3, 2, 6, 4), (5, 2, 1, 4, 6, 3), (5, 6, 2, 4, 1, 3), (5, 1, 3, 4, 6, 2), (2, 1, 3, 4, 6, 5), (5, 6, 3, 4, 1, 2), (5, 6, 1, 4, 2, 3), (2, 6, 3, 4, 1, 5)}",10,0.0361,0.0346,2025-11-22 23:08:56
INVTTC vs BRUTE,"[(1, [1, 4, 3, 5, 6, 2]), (2, [6, 1, 4, 2, 3, 5]), (3, [6, 3, 1, 4, 5, 2]), (4, [1, 3, 4, 6, 2, 5]), (5, [1, 3, 4, 6, 5, 2]), (6, [2, 4, 1, 5, 6, 3])]","[[4, 3, 6, 1, 5, 2], [1, 6, 5, 3, 4, 2], [4, 5, 6, 3, 1, 2], [4, 6, 5, 3, 1, 2], [5, 4, 6, 3, 1, 2], [4, 3, 6, 5, 1, 2], [5, 6, 4, 1, 3, 2], [5, 4, 6, 1, 3, 2], [4, 6, 3, 1, 5, 2], [4, 6, 3, 5, 1, 2], [4, 1, 6, 5, 3, 2], [5, 6, 3, 1, 4, 2], [1, 6, 4, 3, 5, 2], [1, 4, 6, 2, 3, 5], [3, 4, 6, 5, 1, 2], [4, 5, 6, 1, 3, 2], [5, 6, 4, 3, 1, 2], [4, 2, 6, 3, 1, 5], [1, 5, 6, 3, 4, 2], [1, 6, 5, 4, 3, 2], [1, 5, 6, 4, 3, 2], [1, 4, 6, 5, 3, 2], [1, 6, 3, 4, 5, 2], [1, 4, 6, 3, 5, 2], [4, 6, 5, 1, 3, 2], [1, 6, 4, 5, 3, 2], [1, 6, 3, 5, 4, 2], [5, 1, 6, 4, 3, 2], [4, 2, 6, 1, 3, 5], [1, 2, 6, 4, 3, 5], [1, 6, 3, 2, 4, 5], [5, 6, 3, 4, 1, 2], [4, 1, 6, 3, 5, 2], [4, 1, 6, 2, 3, 5], [3, 4, 6, 1, 5, 2], [4, 6, 3, 2, 1, 5], [1, 2, 6, 3, 4, 5], [5, 1, 6, 3, 4, 2], [1, 6, 4, 2, 3, 5], [3, 4, 6, 2, 1, 5]]",40,"{(5, 6, 4, 1, 3, 2), (1, 2, 6, 4, 3, 5), (4, 5, 6, 3, 1, 2), (5, 4, 6, 1, 3, 2), (4, 3, 6, 5, 1, 2), (1, 5, 6, 3, 4, 2), (5, 6, 4, 3, 1, 2), (1, 6, 4, 5, 3, 2), (1, 4, 6, 2, 3, 5), (4, 6, 5, 1, 3, 2), (1, 5, 6, 4, 3, 2), (1, 6, 3, 2, 4, 5), (4, 2, 6, 3, 1, 5), (1, 6, 3, 5, 4, 2), (4, 1, 6, 5, 3, 2), (1, 6, 4, 2, 3, 5), (3, 4, 6, 5, 1, 2), (5, 4, 6, 3, 1, 2), (4, 6, 3, 5, 1, 2), (1, 6, 3, 4, 5, 2), (4, 5, 6, 1, 3, 2), (1, 6, 4, 3, 5, 2), (5, 1, 6, 3, 4, 2), (1, 4, 6, 5, 3, 2), (4, 1, 6, 2, 3, 5), (3, 4, 6, 2, 1, 5), (5, 1, 6, 4, 3, 2), (4, 2, 6, 1, 3, 5), (4, 1, 6, 3, 5, 2), (4, 6, 3, 2, 1, 5), (1, 6, 5, 3, 4, 2), (5, 6, 3, 1, 4, 2), (4, 6, 5, 3, 1, 2), (5, 6, 3, 4, 1, 2), (4, 6, 3, 1, 5, 2), (1, 6, 5, 4, 3, 2), (4, 3, 6, 1, 5, 2), (3, 4, 6, 1, 5, 2), (1, 2, 6, 3, 4, 5), (1, 4, 6, 3, 5, 2)}",40,0.0455,0.0367,2025-11-22 23:08:56
INVTTC vs BRUTE,"[(1, [5, 2, 6, 1, 4, 3]), (2, [2, 6, 1, 4, 5, 3]), (3, [3, 5, 2, 4, 6, 1]), (4, [2, 4, 6, 5, 3, 1]), (5, [2, 1, 3, 6, 5, 4]), (6, [1, 3, 5, 4, 6, 2])]","[[4, 6, 3, 2, 5, 1], [5, 2, 3, 4, 6, 1], [4, 6, 3, 2, 1, 5], [5, 6, 3, 2, 1, 4], [5, 6, 3, 4, 2, 1], [5, 6, 4, 2, 3, 1], [5, 6, 3, 2, 4, 1], [5, 4, 3, 2, 6, 1], [5, 2, 3, 4, 1, 6], [5, 2, 4, 6, 3, 1], [6, 2, 3, 4, 1, 5], [5, 2, 3, 6, 1, 4], [5, 6, 4, 2, 1, 3], [4, 6, 5, 2, 1, 3], [5, 2, 6, 4, 3, 1], [5, 2, 4, 6, 1, 3], [6, 2, 5, 4, 3, 1], [6, 4, 5, 2, 1, 3], [6, 2, 5, 4, 1, 3], [5, 2, 6, 4, 1, 3], [4, 6, 5, 2, 3, 1], [6, 4, 5, 2, 3, 1], [6, 4, 3, 2, 1, 5]]",23,"{(5, 2, 4, 6, 1, 3), (6, 4, 5, 2, 1, 3), (5, 2, 6, 4, 3, 1), (4, 6, 3, 2, 5, 1), (5, 6, 3, 2, 1, 4), (5, 6, 4, 2, 1, 3), (4, 6, 5, 2, 3, 1), (5, 2, 6, 4, 1, 3), (5, 4, 3, 2, 6, 1), (5, 2, 3, 4, 1, 6), (4, 6, 5, 2, 1, 3), (6, 2, 5, 4, 3, 1), (6, 4, 5, 2, 3, 1), (6, 4, 3, 2, 1, 5), (5, 6, 3, 4, 2, 1), (5, 2, 4, 6, 3, 1), (4, 6, 3, 2, 1, 5), (5, 6, 3, 2, 4, 1), (5, 2, 3, 6, 1, 4), (6, 2, 5, 4, 1, 3), (5, 6, 4, 2, 3, 1), (6, 2, 3, 4, 1, 5), (5, 2, 3, 4, 6, 1)}",23,0.0472,0.0337,2025-11-22 23:08:56
INVTTC vs BRUTE,"[(1, [1, 4, 2, 5, 3, 6]), (2, [1, 6, 4, 2, 5, 3]), (3, [2, 4, 6, 5, 1, 3]), (4, [6, 5, 2, 3, 4, 1]), (5, [3, 2, 5, 4, 1, 6]), (6, [4, 6, 3, 2, 5, 1])]","[[1, 5, 2, 6, 3, 4], [1, 4, 2, 6, 3, 5], [2, 1, 5, 6, 3, 4], [5, 1, 2, 6, 3, 4], [1, 6, 2, 5, 3, 4], [4, 1, 2, 6, 3, 5], [4, 1, 2, 5, 3, 6], [1, 4, 5, 6, 2, 3], [4, 1, 5, 6, 2, 3], [2, 1, 6, 5, 3, 4], [4, 1, 2, 6, 5, 3], [4, 1, 5, 6, 3, 2], [1, 2, 5, 6, 3, 4], [1, 4, 2, 6, 5, 3], [1, 4, 5, 6, 3, 2]]",15,"{(1, 4, 5, 6, 2, 3), (4, 1, 5, 6, 3, 2), (1, 2, 5, 6, 3, 4), (4, 1, 2, 5, 3, 6), (1, 4, 5, 6, 3, 2), (4, 1, 2, 6, 3, 5), (2, 1, 5, 6, 3, 4), (4, 1, 2, 6, 5, 3), (5, 1, 2, 6, 3, 4), (1, 4, 2, 6, 3, 5), (2, 1, 6, 5, 3, 4), (1, 5, 2, 6, 3, 4), (4, 1, 5, 6, 2, 3), (1, 4, 2, 6, 5, 3), (1, 6, 2, 5, 3, 4)}",15,0.0398,0.0325,2025-11-22 23:08:56
INVTTC vs BRUTE,"[(1, [6, 5, 3, 4, 1, 2]), (2, [4, 1, 5, 2, 6, 3]), (3, [1, 2, 5, 3, 4, 6]), (4, [2, 3, 5, 4, 6, 1]), (5, [2, 6, 1, 3, 5, 4]), (6, [2, 6, 5, 4, 1, 3])]","[[5, 4, 1, 2, 3, 6], [6, 4, 1, 2, 3, 5], [5, 4, 3, 2, 1, 6], [6, 4, 1, 3, 2, 5], [5, 4, 1, 3, 2, 6], [5, 4, 1, 3, 6, 2], [3, 4, 1, 2, 6, 5], [6, 4, 5, 3, 1, 2], [6, 4, 1, 5, 3, 2], [6, 4, 3, 2, 1, 5], [6, 4, 1, 3, 5, 2], [5, 4, 1, 2, 6, 3], [6, 4, 5, 2, 1, 3], [3, 4, 5, 2, 1, 6], [6, 3, 5, 2, 1, 4], [5, 4, 3, 2, 6, 1], [5, 3, 1, 2, 6, 4], [5, 1, 3, 2, 6, 4]]",18,"{(5, 4, 3, 2, 1, 6), (6, 4, 1, 3, 5, 2), (5, 4, 1, 3, 6, 2), (5, 4, 1, 3, 2, 6), (6, 4, 5, 3, 1, 2), (5, 3, 1, 2, 6, 4), (5, 1, 3, 2, 6, 4), (6, 3, 5, 2, 1, 4), (3, 4, 5, 2, 1, 6), (6, 4, 5, 2, 1, 3), (6, 4, 1, 2, 3, 5), (5, 4, 3, 2, 6, 1), (5, 4, 1, 2, 6, 3), (3, 4, 1, 2, 6, 5), (6, 4, 3, 2, 1, 5), (5, 4, 1, 2, 3, 6), (6, 4, 1, 3, 2, 5), (6, 4, 1, 5, 3, 2)}",18,0.0384,0.0343,2025-11-22 23:08:56
INVTTC vs BRUTE,"[(1, [3, 2, 6, 1, 5, 4]), (2, [1, 6, 3, 5, 4, 2]), (3, [1, 5, 3, 2, 6, 4]), (4, [4, 2, 3, 5, 1, 6]), (5, [3, 4, 2, 1, 5, 6]), (6, [3, 2, 4, 5, 6, 1])]","[[2, 1, 6, 4, 5, 3], [3, 1, 5, 6, 4, 2], [2, 6, 1, 4, 3, 5], [2, 1, 5, 4, 6, 3], [5, 6, 1, 4, 2, 3], [2, 1, 6, 5, 4, 3], [6, 1, 5, 4, 3, 2], [2, 1, 5, 4, 3, 6], [2, 6, 1, 4, 5, 3], [5, 6, 1, 4, 3, 2], [3, 1, 6, 5, 4, 2], [3, 6, 1, 2, 4, 5], [3, 6, 1, 5, 4, 2], [6, 1, 5, 4, 2, 3], [6, 1, 5, 2, 4, 3], [5, 6, 1, 2, 4, 3], [2, 1, 5, 6, 4, 3], [3, 1, 6, 4, 2, 5], [6, 5, 1, 4, 2, 3], [3, 1, 5, 4, 2, 6], [2, 1, 6, 5, 3, 4], [3, 6, 1, 4, 5, 2], [3, 6, 1, 4, 2, 5], [2, 6, 1, 5, 4, 3], [2, 1, 5, 6, 3, 4], [3, 1, 5, 4, 6, 2], [3, 1, 5, 2, 4, 6], [6, 5, 1, 4, 3, 2], [3, 1, 6, 4, 5, 2], [3, 1, 6, 2, 4, 5], [2, 1, 6, 4, 3, 5], [3, 6, 5, 4, 1, 2], [2, 6, 5, 4, 1, 3], [2, 6, 1, 5, 3, 4], [6, 5, 1, 2, 4, 3]]",35,"{(5, 6, 1, 2, 4, 3), (3, 1, 6, 2, 4, 5), (6, 1, 5, 4, 2, 3), (3, 6, 1, 5, 4, 2), (3, 1, 5, 6, 4, 2), (3, 6, 1, 4, 2, 5), (2, 6, 1, 4, 5, 3), (3, 6, 1, 2, 4, 5), (3, 1, 5, 2, 4, 6), (6, 5, 1, 4, 3, 2), (6, 1, 5, 2, 4, 3), (6, 5, 1, 4, 2, 3), (2, 1, 5, 4, 3, 6), (3, 1, 5, 4, 6, 2), (2, 6, 1, 4, 3, 5), (5, 6, 1, 4, 3, 2), (2, 6, 1, 5, 4, 3), (2, 1, 5, 6, 3, 4), (2, 1, 5, 6, 4, 3), (5, 6, 1, 4, 2, 3), (3, 1, 6, 4, 5, 2), (2, 1, 6, 5, 4, 3), (2, 1, 6, 4, 5, 3), (3, 6, 1, 4, 5, 2), (3, 1, 6, 5, 4, 2), (2, 1, 6, 5, 3, 4), (2, 6, 5, 4, 1, 3), (6, 5, 1, 2, 4, 3), (6, 1, 5, 4, 3, 2), (3, 6, 5, 4, 1, 2), (2, 6, 1, 5, 3, 4), (3, 1, 5, 4, 2, 6), (3, 1, 6, 4, 2, 5), (2, 1, 5, 4, 6, 3), (2, 1, 6, 4, 3, 5)}",35,0.0426,0.0379,2025-11-22 23:08:56
INVTTC vs BRUTE,"[(1, [2, 5, 3, 1, 4, 6]), (2, [2, 5, 3, 6, 1, 4]), (3, [4, 2, 6, 1, 3, 5]), (4, [6, 4, 3, 2, 1, 5]), (5, [4, 2, 1, 5, 3, 6]), (6, [2, 3, 4, 5, 1, 6])]","[[2, 5, 4, 6, 1, 3], [1, 5, 2, 6, 4, 3], [3, 5, 4, 6, 1, 2], [2, 5, 1, 6, 4, 3], [5, 2, 1, 6, 4, 3], [5, 3, 4, 6, 1, 2], [3, 5, 1, 6, 4, 2], [5, 1, 6, 3, 4, 2], [5, 3, 1, 6, 4, 2], [1, 5, 4, 6, 2, 3], [3, 5, 2, 6, 4, 1], [5, 3, 6, 1, 4, 2], [3, 5, 4, 6, 2, 1], [5, 1, 4, 6, 2, 3], [2, 5, 6, 3, 4, 1], [5, 6, 4, 1, 2, 3], [5, 2, 4, 6, 1, 3], [1, 5, 6, 3, 4, 2], [3, 5, 6, 1, 4, 2], [2, 5, 6, 1, 4, 3], [5, 1, 2, 6, 4, 3], [2, 1, 6, 3, 4, 5], [5, 2, 6, 1, 4, 3], [5, 2, 6, 3, 4, 1], [5, 3, 4, 6, 2, 1], [5, 3, 2, 6, 4, 1], [5, 6, 2, 1, 4, 3], [1, 2, 6, 3, 4, 5]]",28,"{(3, 5, 6, 1, 4, 2), (5, 2, 4, 6, 1, 3), (1, 5, 2, 6, 4, 3), (5, 3, 4, 6, 1, 2), (1, 5, 4, 6, 2, 3), (2, 5, 1, 6, 4, 3), (3, 5, 2, 6, 4, 1), (2, 5, 6, 3, 4, 1), (5, 6, 4, 1, 2, 3), (1, 5, 6, 3, 4, 2), (5, 1, 2, 6, 4, 3), (5, 1, 4, 6, 2, 3), (2, 5, 4, 6, 1, 3), (3, 5, 1, 6, 4, 2), (5, 3, 2, 6, 4, 1), (3, 5, 4, 6, 2, 1), (5, 2, 6, 1, 4, 3), (5, 1, 6, 3, 4, 2), (5, 6, 2, 1, 4, 3), (5, 3, 6, 1, 4, 2), (2, 5, 6, 1, 4, 3), (5, 2, 1, 6, 4, 3), (3, 5, 4, 6, 1, 2), (5, 3, 1, 6, 4, 2), (5, 3, 4, 6, 2, 1), (2, 1, 6, 3, 4, 5), (5, 2, 6, 3, 4, 1), (1, 2, 6, 3, 4, 5)}",28,0.0405,0.0392,2025-11-22 23:08:56
INVTTC vs BRUTE,"[(1, [1, 4, 2, 6, 3, 5]), (2, [5, 3, 4, 1, 6, 2]), (3, [4, 6, 1, 5, 3, 2]), (4, [3, 4, 1, 5, 6, 2]), (5, [2, 6, 3, 1, 4, 5]), (6, [2, 5, 3, 4, 6, 1])]","[[1, 5, 6, 3, 2, 4], [1, 3, 4, 6, 2, 5], [1, 5, 4, 3, 2, 6], [1, 5, 4, 3, 6, 2], [1, 6, 4, 3, 2, 5], [1, 5, 4, 6, 2, 3], [1, 5, 6, 4, 2, 3], [6, 1, 4, 3, 2, 5], [1, 4, 6, 3, 2, 5], [1, 3, 6, 4, 2, 5], [6, 3, 4, 1, 2, 5], [6, 5, 4, 1, 2, 3]]",12,"{(6, 3, 4, 1, 2, 5), (1, 5, 4, 3, 6, 2), (1, 5, 4, 3, 2, 6), (1, 5, 6, 3, 2, 4), (1, 3, 6, 4, 2, 5), (6, 5, 4, 1, 2, 3), (1, 3, 4, 6, 2, 5), (1, 5, 4, 6, 2, 3), (6, 1, 4, 3, 2, 5), (1, 4, 6, 3, 2, 5), (1, 6, 4, 3, 2, 5), (1, 5, 6, 4, 2, 3)}",12,0.0402,0.0442,2025-11-22 23:08:57
