method,prefList,num_pareto_solutions,time_taken_sec,time_taken_sec_2,timestamp
INVTTC vs BRUTE,"[(1, [7, 6, 9, 4, 2, 5, 8, 3, 1]), (2, [3, 5, 6, 4, 2, 8, 9, 1, 7]), (3, [2, 8, 7, 6, 4, 3, 5, 1, 9]), (4, [8, 2, 4, 6, 7, 9, 3, 1, 5]), (5, [2, 6, 3, 5, 7, 4, 8, 1, 9]), (6, [6, 8, 2, 1, 4, 3, 5, 9, 7]), (7, [9, 2, 4, 7, 5, 3, 1, 6, 8]), (8, [9, 7, 1, 6, 5, 3, 8, 4, 2]), (9, [4, 3, 9, 7, 8, 5, 2, 6, 1])]",466,24.1252,29.9794,2025-11-04 01:35:36
INVTTC vs BRUTE,"[(1, [3, 1, 7, 4, 6, 2, 5, 9, 8]), (2, [6, 1, 3, 7, 2, 4, 5, 9, 8]), (3, [1, 8, 5, 7, 6, 3, 2, 4, 9]), (4, [3, 2, 8, 4, 6, 7, 9, 5, 1]), (5, [4, 9, 3, 6, 1, 7, 5, 2, 8]), (6, [2, 6, 5, 4, 8, 9, 7, 1, 3]), (7, [9, 6, 7, 8, 3, 5, 4, 2, 1]), (8, [8, 6, 2, 7, 1, 9, 4, 3, 5]), (9, [6, 4, 7, 8, 3, 9, 1, 2, 5])]",217,19.3169,30.716,2025-11-04 01:44:40
